epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.65163,1.50731,2.35634,1.49705,0.30815,0.66667,0.26137,0.21076,0.68825,1.75149,1.08727,0,0,0
2,13.3674,1.12911,2.19455,1.28068,0.37464,0.73333,0.32198,0.26488,0.67398,1.69851,1.07391,1.967e-05,1.967e-05,1.967e-05
3,18.7237,1.25911,2.20433,1.34255,0.36803,0.66667,0.31378,0.2591,0.61196,1.69529,1.03156,3.868e-05,3.868e-05,3.868e-05
4,24.0377,1.00221,1.74048,1.25268,0.43284,0.66667,0.36354,0.26566,0.56667,1.83007,0.95914,5.703e-05,5.703e-05,5.703e-05
5,29.9025,0.81275,1.40981,1.07762,0.39971,0.66667,0.39795,0.29572,0.68845,2.16961,1.04765,7.472e-05,7.472e-05,7.472e-05
6,36.4728,0.6821,1.04965,1.04836,0.59758,0.53333,0.59051,0.43907,0.6621,2.72283,0.98251,9.175e-05,9.175e-05,9.175e-05
7,42.4224,0.68827,0.92007,1.03588,0.53427,0.53549,0.63387,0.49139,0.69786,2.86911,1.00844,0.00010812,0.00010812,0.00010812
8,48.8404,0.65115,0.79298,0.98409,0.51874,0.66667,0.63279,0.50065,0.74854,2.83334,1.02846,0.00012383,0.00012383,0.00012383
9,55.3288,0.59058,0.69364,0.99006,0.60564,0.6,0.69864,0.51866,0.7308,2.79237,1.02175,0.00013888,0.00013888,0.00013888
10,61.7947,0.57426,0.79329,0.97326,0.54071,0.86347,0.75971,0.4893,0.69945,3.17213,1.04437,0.00015327,0.00015327,0.00015327
11,67.4757,0.56166,0.71821,0.94661,0.61813,0.8,0.80082,0.52622,0.7006,3.4015,1.06763,0.000167,0.000167,0.000167
12,73.4012,0.5931,0.69988,0.97288,0.57156,0.8,0.85698,0.59003,0.74533,3.30302,1.11299,0.00018007,0.00018007,0.00018007
13,79.6423,0.61074,0.63329,0.95436,0.51876,0.86667,0.84516,0.66073,0.78362,3.13337,1.1847,0.00019248,0.00019248,0.00019248
14,85.8059,0.5291,0.5084,0.88912,0.56257,0.86667,0.86159,0.68238,0.77742,3.16321,1.22929,0.00020423,0.00020423,0.00020423
15,92.1933,0.5845,0.57958,0.91634,0.5885,0.86667,0.83601,0.66815,0.79999,3.0491,1.29325,0.00021532,0.00021532,0.00021532
16,98.4827,0.55143,0.75202,0.97863,0.67178,0.86667,0.83582,0.64456,0.82175,2.77716,1.31863,0.00022575,0.00022575,0.00022575
17,104.475,0.53688,0.6453,0.91749,0.68085,0.85388,0.83768,0.64325,0.82406,2.24588,1.33975,0.00023552,0.00023552,0.00023552
18,110.43,0.5628,0.54084,0.94385,0.68085,0.85388,0.83768,0.64325,0.82406,2.24588,1.33975,0.00024463,0.00024463,0.00024463
19,116.786,0.55667,0.48147,0.91957,0.81484,0.8,0.8523,0.64049,0.80988,1.7994,1.29408,0.00025308,0.00025308,0.00025308
20,122.968,0.56909,0.55443,0.91712,0.81484,0.8,0.8523,0.64049,0.80988,1.7994,1.29408,0.00026087,0.00026087,0.00026087
21,129.545,0.5109,0.52039,0.8676,0.7936,0.8,0.87178,0.64575,0.80855,1.62219,1.27437,0.000268,0.000268,0.000268
22,135.625,0.49164,0.52574,0.89498,0.7936,0.8,0.87178,0.64575,0.80855,1.62219,1.27437,0.00027447,0.00027447,0.00027447
23,142.202,0.49184,0.465,0.88671,0.79937,0.79704,0.86399,0.66633,0.80148,1.64534,1.24721,0.00028028,0.00028028,0.00028028
24,148.119,0.45849,0.38243,0.87084,0.79937,0.79704,0.86399,0.66633,0.80148,1.64534,1.24721,0.00028543,0.00028543,0.00028543
25,154.33,0.56909,0.44136,0.87822,0.62951,0.79326,0.78338,0.63708,0.77714,1.8322,1.22142,0.00028992,0.00028992,0.00028992
26,160.06,0.49134,0.42691,0.8969,0.62951,0.79326,0.78338,0.63708,0.77714,1.8322,1.22142,0.00029375,0.00029375,0.00029375
27,166.195,0.47754,0.4355,0.90558,0.63219,0.73333,0.76934,0.62906,0.73471,1.91017,1.18544,0.00029692,0.00029692,0.00029692
28,172.462,0.44959,0.46403,0.90558,0.63219,0.73333,0.76934,0.62906,0.73471,1.91017,1.18544,0.00029943,0.00029943,0.00029943
29,178.359,0.47433,0.43668,0.87747,0.64205,0.7182,0.81289,0.67989,0.70705,1.74364,1.17088,0.00030128,0.00030128,0.00030128
30,183.811,0.44444,0.3968,0.85054,0.64205,0.7182,0.81289,0.67989,0.70705,1.74364,1.17088,0.00030247,0.00030247,0.00030247
31,189.671,0.41555,0.37891,0.84908,0.54782,1,0.83029,0.70639,0.70689,1.52346,1.16166,0.000303,0.000303,0.000303
32,195.718,0.39857,0.38259,0.87329,0.54782,1,0.83029,0.70639,0.70689,1.52346,1.16166,0.00030287,0.00030287,0.00030287
33,201.707,0.37666,0.38281,0.8574,0.69913,0.8,0.8675,0.71453,0.70612,1.20348,1.15351,0.00030208,0.00030208,0.00030208
34,208.121,0.40901,0.37032,0.85175,0.69913,0.8,0.8675,0.71453,0.70612,1.20348,1.15351,0.00030063,0.00030063,0.00030063
35,214.079,0.39303,0.34508,0.80791,0.73343,0.91778,0.91705,0.73634,0.70342,1.11539,1.14303,0.00029852,0.00029852,0.00029852
36,220.017,0.41785,0.3538,0.86191,0.73343,0.91778,0.91705,0.73634,0.70342,1.11539,1.14303,0.00029575,0.00029575,0.00029575
37,225.886,0.40373,0.3575,0.85856,0.82621,0.8,0.8997,0.71418,0.69733,1.06445,1.13727,0.00029232,0.00029232,0.00029232
38,231.956,0.3702,0.3526,0.843,0.82621,0.8,0.8997,0.71418,0.69733,1.06445,1.13727,0.00028823,0.00028823,0.00028823
